summary,id,issue_type,priority,severity,story_points,sprint_id,created_at,resolved_at,actual_completed_rank,status
Authentication failed when attempting Fetch command,SRCTREEWIN-14001,bug,high,major,5,18,17-Mar-23,,,To Do
OAuth token keeps expiring,SRCTREEWIN-14000,bug,low,minor,7,24,15-Mar-23,,,To Do
Mercurial: No column for revision/changeset number,SRCTREEWIN-13999,suggestion,low,,4,24,14-Mar-23,,,To Do
Add an option to disable `git lfs ls-files` on startup,SRCTREEWIN-13998,suggestion,low,,3,13,14-Mar-23,,,To Do
Unable to start SourceTree after updating from older version to 3.4.12,SRCTREEWIN-13997,bug,medium,critical,6,7,13-Mar-23,,,To Do
Keesp Asking for GitHub Login,SRCTREEWIN-13996,bug,medium,major,1,17,13-Mar-23,,,To Do
Dark Theme - history changed files not displayed correctly,SRCTREEWIN-13995,bug,low,minor,2,6,10-Mar-23,,,To Do
Unable to know if the time is AM or PM,SRCTREEWIN-13994,bug,low,minor,3,26,9-Mar-23,,,To Do
"Fix for  Git Buffer Overflow - CVE-2022-41903, CVE-2022-23521",SRCTREEWIN-13993,bug,high,critical,8,24,6-Mar-23,7-Mar-23,9,Done
Ability to update (pull) all repos,SRCTREEWIN-13991,suggestion,low,,3,24,22-Feb-23,,,To Do
Failed to start after windows update,SRCTREEWIN-13990,bug,high,critical,6,7,22-Feb-23,10-Mar-23,11,Done
History view column sizes madness,SRCTREEWIN-13989,bug,high,major,8,22,21-Feb-23,,,To Do
Upadate embedded Git binary and create new release,SRCTREEWIN-13988,bug,high,major,7,3,17-Feb-23,7-Mar-23,13,Done
Failed update from 3.4.9,SRCTREEWIN-13987,bug,low,major,2,21,5-Feb-23,6-Feb-23,14,Done
broken link,SRCTREEWIN-13986,bug,high,critical,3,23,1-Feb-23,,,To Do
Unable to log in to Sourcetree,SRCTREEWIN-13985,bug,medium,major,8,13,31-Jan-23,2-Feb-23,16,Done
"App freezes and displays ""Not Responding"" in titlebar constantly",SRCTREEWIN-13984,bug,high,major,5,17,30-Jan-23,,,To Do
添加大量文件后，SourceTree会长时间无响应,SRCTREEWIN-13983,bug,low,minor,5,18,30-Jan-23,,,To Do
Sourcetree crashs soon after start,SRCTREEWIN-13982,bug,high,critical,4,14,28-Jan-23,,,To Do
SourceTree crashes shortly after launching application.,SRCTREEWIN-13981,bug,high,critical,6,8,26-Jan-23,,,To Do
Pull & Push now fails after Atlassian Logon window opens on SourceTree push,SRCTREEWIN-13980,bug,high,major,1,29,22-Jan-23,,,To Do
Left zone of Sourcetree - Workspace - List Branches scroll top after refresh,SRCTREEWIN-13979,bug,low,minor,6,1,18-Jan-23,,,To Do
Sort remote repositories dropdown list items,SRCTREEWIN-13978,bug,low,minor,2,17,16-Jan-23,10-Mar-23,23,Done
$FILE expands to file name different than selected in Custom action,SRCTREEWIN-13977,bug,low,minor,2,29,15-Jan-23,,,To Do
Maximized SourceTree window covers taskbar when hidden taskbar is on the left of the screen,SRCTREEWIN-13976,bug,medium,major,2,16,14-Jan-23,,,To Do
Error when creating pull request from SourceTree,SRCTREEWIN-13975,bug,high,major,3,15,11-Jan-23,16-Jan-23,26,Done
Add better support for GitHub Enterprise Personal Access Tokens PAT,SRCTREEWIN-13974,suggestion,low,,5,20,6-Jan-23,10-Mar-23,27,Done
Diff view does not show for mercurial repositories,SRCTREEWIN-13973,bug,high,major,5,20,4-Jan-23,16-Jan-23,28,Done
Sourcetree reproducable fails for a basic use case (open working directory),SRCTREEWIN-13972,bug,low,major,2,18,3-Jan-23,,,To Do
Upgrade from 3.4.9 failing.,SRCTREEWIN-13971,bug,low,minor,2,5,29-Dec-22,2-Jan-23,30,Done
Diff Panel not showing the changes,SRCTREEWIN-13970,bug,high,critical,2,29,27-Dec-22,16-Jan-23,31,Done
Allow unstaging lines and hunks in new files,SRCTREEWIN-13969,suggestion,low,,8,16,23-Dec-22,,,To Do
SourceTree crashes trying to clone any repository,SRCTREEWIN-13968,bug,low,minor,2,25,21-Dec-22,,,To Do
Update SourceTree for Windows from 3.4.10 to 3.4.11 fails,SRCTREEWIN-13967,bug,high,critical,1,1,17-Dec-22,13-Jan-23,34,Done
"Wrong translation for ""branch"" to Italian",SRCTREEWIN-13966,bug,low,minor,1,6,15-Dec-22,,,in-progress
