priority_rank,id,name,description,issue_type,priority,status,story_points,WSJF,moscow_category,assignee
1,STPA-126,Environment setup (Dev/Staging),Provision dev and staging environments.,story,high,todo,3,7.834109055374628,Must Have,
2,STPA-132,Refactor CI/CD pipeline for microservices,Improve deployment speed.,story,high,todo,3,7.025104904213239,Must Have,
3,STPA-135,CI/CD Pipeline Modernization Feature,Refactor pipeline for microservices with parallel jobs.,feature,high,todo,3,7.015006065368652,Must Have,
4,STPA-134,OAuth2 Multi-Provider Login Feature,"Implement secure login via Google, Microsoft, and GitHub.",feature,high,todo,3,6.689345592598877,Won't Have (This Sprint),
5,STPA-120,Project kickoff meeting preparation,Prepare agenda and stakeholder overview.,story,high,todo,3,6.555496849772571,Should Have,
6,STPA-118,DevOps & Infrastructure Modernization Epic,"Improve CI/CD, logging, automation, and infrastructure stability.",story,high,todo,3,6.543472544247874,Must Have,
7,STPA-147,End-to-end testing for checkout flow,Automate checkout flow tests.,story,high,todo,3,6.4516879119126,Could Have,
8,STPA-138,Data export API,Provide export endpoints for data.,story,high,todo,3,6.237249705344579,Could Have,
9,STPA-129,Project timeline and roadmap creation,Develop milestone roadmap.,story,high,todo,3,6.213311332478955,Should Have,
10,STPA-122,Define project scope document,Finalize scope and deliverables.,story,high,todo,3,6.0514043327380165,Should Have,
11,STPA-121,Requirement gathering workshops,Conduct stakeholder workshops.,story,high,todo,3,5.845082625309207,Should Have,
12,STPA-127,Create initial product backlog,Break down requirements into stories.,story,high,todo,3,5.115047441295113,Should Have,
13,STPA-119,Payment & Checkout Optimization Epic,Enhance payment reliability and checkout performance.,story,high,todo,3,4.957966453856716,Won't Have (This Sprint),
14,STPA-117,User Authentication & Security Epic,"Complete authentication system including OAuth2, rate limiting, and security scans.",story,high,todo,3,4.794394268535689,Won't Have (This Sprint),
15,STPA-140,User feedback module,Add in-app feedback and sentiment pipeline.,story,high,todo,3,4.624951314155932,Could Have,
16,STPA-130,Security vulnerability scan,Perform SAST/DAST scans.,story,high,todo,3,4.615357367667342,Should Have,
17,STPA-124,Technology stack selection,Select system technology stack.,story,high,todo,3,4.348269778990925,Should Have,
18,STPA-131,Improve API rate limiting,Add throttling and quotas.,story,high,todo,3,3.962162494659424,Won't Have (This Sprint),
19,STPA-137,Implement feature flag system,Add runtime feature flags safely.,story,high,todo,3,3.85443243210006,Could Have,
20,STPA-125,High-level system architecture design,Design system components.,story,high,todo,3,3.8068690107854697,Should Have,
