priority_rank,id,name,description,issue_type,priority,status,WSJF,moscow_category,assignee
1,STPA-10,Environment setup (Dev/Staging),Provision dev and staging environments.,story,high,todo,7.834109055374628,Must Have,
2,STPA-16,Refactor CI/CD pipeline for microservices,Improve deployment speed.,story,high,todo,7.025104904213239,Must Have,
3,STPA-19,CI/CD Pipeline Modernization Feature,Refactor pipeline for microservices with parallel jobs.,feature,high,todo,7.015006065368652,Must Have,
4,STPA-18,OAuth2 Multi-Provider Login Feature,"Implement secure login via Google, Microsoft, and GitHub.",feature,high,todo,6.689345592598877,Won't Have (This Sprint),
5,STPA-4,Project kickoff meeting preparation,Prepare agenda and stakeholder overview.,story,high,todo,6.555496849772571,Should Have,
6,STPA-2,DevOps & Infrastructure Modernization Epic,"Improve CI/CD, logging, automation, and infrastructure stability.",story,high,todo,6.543472544247874,Must Have,
7,STPA-31,End-to-end testing for checkout flow,Automate checkout flow tests.,story,high,todo,6.4516879119126,Could Have,
8,STPA-22,Data export API,Provide export endpoints for data.,story,high,todo,6.237249705344579,Could Have,
9,STPA-13,Project timeline and roadmap creation,Develop milestone roadmap.,story,high,todo,6.213311332478955,Should Have,
10,STPA-6,Define project scope document,Finalize scope and deliverables.,story,high,todo,6.0514043327380165,Should Have,
11,STPA-5,Requirement gathering workshops,Conduct stakeholder workshops.,story,high,todo,5.845082625309207,Should Have,
12,STPA-11,Create initial product backlog,Break down requirements into stories.,story,high,todo,5.115047441295113,Should Have,
13,STPA-3,Payment & Checkout Optimization Epic,Enhance payment reliability and checkout performance.,story,high,todo,4.957966453856716,Won't Have (This Sprint),
14,STPA-1,User Authentication & Security Epic,"Complete authentication system including OAuth2, rate limiting, and security scans.",story,high,todo,4.794394268535689,Won't Have (This Sprint),
15,STPA-24,User feedback module,Add in-app feedback and sentiment pipeline.,story,high,todo,4.624951314155932,Could Have,
