project_id,id,name,description,issue_type,status,priority,assignee,story_points,sprint,tags,severity,full_text,ai_score_1,ai_score_2,ai_score_3,user_value_boost,risk_reduction_boost,time_criticality_boost,priority_weight,severity_weight,user_value,time_criticality,risk_reduction,cost_of_delay,safe_story_points,WSJF,ai_cluster,moscow_category,is_bug,severity_rank,global_boost,global_rank_score,priority_rank
1,2001,Login fails with valid credentials,Users cannot log in even with correct username and password.,bug,todo,high,,5,,auth login production,critical,Login fails with valid credentials. Users cannot log in even with correct username and password.. auth login production,6.1643877,10.0,1.0,1.5,1.5,1.5,2.0,7.2,6.81967860454753,9.999999999999998,2.3170173279890145,19.13669593253654,5.0,3.827339186507308,1,Must Have,True,2,40,43.82733918650731,1
1,2005,Incorrect role permissions applied,Users can access features outside their assigned role.,bug,todo,high,,5,,security rbac,critical,Incorrect role permissions applied. Users can access features outside their assigned role.. security rbac,3.1450577,5.7117968,4.44447,1.5,1.5,1.0,2.0,7.2,3.9168655448171643,4.3749946736843786,10.0,18.291860218501544,5.0,3.6583720437003087,1,Must Have,True,2,40,43.65837204370031,2
1,2004,Project list not loading,Projects page shows blank screen for some users.,bug,todo,high,,5,,ui project,critical,Project list not loading. Projects page shows blank screen for some users.. ui project,7.104274,1.7949102,2.7351632,2.0,1.0,1.0,2.0,7.2,10.0,2.002898882928296,4.153727136243924,16.15662601917222,5.0,3.2313252038344435,1,Must Have,True,2,40,43.231325203834444,3
1,2013,API returns 500 error intermittently,Random internal server errors observed in production.,bug,todo,high,,8,,api backend,critical,API returns 500 error intermittently. Random internal server errors observed in production.. api backend,5.7342386,5.4097977,2.181006,1.0,1.0,1.5,2.0,7.2,4.568478317614228,5.830208723121714,3.329685374270789,13.728372415006731,8.0,1.7160465518758414,1,Must Have,True,2,40,41.71604655187584,4
1,2009,Meeting audio not connecting,Users cannot hear audio after joining meetings.,bug,todo,high,,8,,meeting audio,critical,Meeting audio not connecting. Users cannot hear audio after joining meetings.. meeting audio,3.206234,3.5552766,3.7819502,1.5,1.0,1.0,2.0,7.2,3.9756810307938037,3.068989960501127,5.710318180160215,12.754989171455145,8.0,1.5943736464318932,1,Must Have,True,2,40,41.59437364643189,5
1,2007,Comments not saved on issues,User comments disappear after page refresh.,bug,todo,medium,,2,,comments backend,major,Comments not saved on issues. User comments disappear after page refresh.. comments backend,1.8595123,1.8142747,5.0661206,1.5,1.0,1.0,1.6,6.0,2.085012117874475,1.8315031038266474,6.364333861154462,10.280849082855584,2.0,5.140424541427792,1,Must Have,True,3,30,35.14042454142779,6
1,2016,Sprint velocity calculated incorrectly,Velocity does not match completed story points.,bug,todo,medium,,3,,agile metrics,major,Sprint velocity calculated incorrectly. Velocity does not match completed story points.. agile metrics,3.8138247,2.9036798,7.6884985,1.0,1.0,1.0,1.6,6.0,2.5227979809262613,2.381296371745172,9.613936230304756,14.518030582976188,3.0,4.8393435276587295,1,Must Have,True,3,30,34.83934352765873,7
1,2002,Password reset email not sent,Password reset emails are not delivered to users.,bug,todo,high,,3,,auth email,major,Password reset email not sent. Password reset emails are not delivered to users.. auth email,1.8972445,7.8225727,3.5436087,1.5,1.5,1.0,2.0,6.0,2.4132009953921423,4.863728282607604,6.673252379935857,13.950181657935603,3.0,4.6500605526452015,1,Must Have,True,3,30,34.6500605526452,8
1,2006,Sprint board drag-and-drop not working,Tasks cannot be moved between columns on sprint board.,bug,todo,medium,,3,,board ui,major,Sprint board drag-and-drop not working. Tasks cannot be moved between columns on sprint board.. board ui,1.4374437,1.0452396,7.7448573,1.5,1.0,1.0,1.6,6.0,1.814491567021578,1.4433919313912078,9.683775035077346,12.941658533490132,3.0,4.313886177830044,1,Must Have,True,3,30,34.31388617783004,9
1,2003,User session expires too early,User sessions expire within minutes instead of configured duration.,bug,todo,medium,,3,,session security,major,User session expires too early. User sessions expire within minutes instead of configured duration.. session security,1.6014543,5.277356,3.7792945,1.5,1.5,1.0,1.6,6.0,1.9196124358410538,3.5792264670969165,7.11133868195218,12.61017758489015,3.0,4.203392528296717,1,Must Have,True,3,30,34.20339252829672,10
1,2011,File upload fails for large files,Uploading files larger than 10MB fails without error message.,bug,todo,medium,,3,,upload backend,major,File upload fails for large files. Uploading files larger than 10MB fails without error message.. upload backend,5.459387,3.0700936,3.0939558,1.0,1.0,1.0,1.6,6.0,3.2259354796703734,2.4652808982635213,3.9204634720138385,9.611679849947734,3.0,3.2038932833159115,1,Must Have,True,3,30,33.203893283315914,11
1,2010,Chat messages delivered with delay,Real-time chat messages are delayed by several seconds.,bug,todo,medium,,3,,chat realtime,major,Chat messages delivered with delay. Real-time chat messages are delayed by several seconds.. chat realtime,1.1812296,2.334114,4.6292644,1.0,1.0,1.0,1.6,6.0,1.397908056467887,2.0938519629362586,5.822989616168482,9.314749635572628,3.0,3.1049165451908762,3,Must Have,True,3,30,33.104916545190875,12
1,2014,Timezone mismatch in reports,Report timestamps are displayed in incorrect timezone.,bug,todo,low,,1,,report timezone,minor,Timezone mismatch in reports. Report timestamps are displayed in incorrect timezone.. report timezone,4.8986106,2.4443722,6.3674154,1.0,1.0,1.0,1.2,4.4,2.04440530659986,1.8205340020010405,5.872772033653881,9.737711342254782,1.0,9.737711342254782,1,Should Have,True,4,20,29.737711342254784,13
1,2008,Notification badge count incorrect,Unread notification count does not match actual notifications.,bug,todo,low,,1,,notification ui,minor,Notification badge count incorrect. Unread notification count does not match actual notifications.. notification ui,3.1400313,1.3371526,6.39824,1.5,1.0,1.0,1.2,4.4,2.0000907425660155,1.4107592801067317,5.900783425559726,9.311633448232474,1.0,9.311633448232474,3,Should Have,True,4,20,29.311633448232474,14
1,2015,Duplicate notifications sent,Users receive same notification multiple times.,bug,todo,low,,2,,notification,minor,Duplicate notifications sent. Users receive same notification multiple times.. notification,1.7037635,3.756903,6.155168,1.5,1.0,1.0,1.2,4.4,1.4937820856988435,2.306293048145615,5.679895808355785,9.479970942200243,2.0,4.7399854711001215,3,Should Have,True,4,20,24.73998547110012,15
1,2012,Search returns incomplete results,Search does not return all matching records.,bug,todo,medium,,2,,search,minor,Search returns incomplete results. Search does not return all matching records.. search,5.459341,3.2350326,4.750226,1.0,1.0,1.0,1.6,4.4,2.603852128924024,2.113152236581963,4.403178389115527,9.120182754621514,2.0,4.560091377310757,1,Should Have,True,4,20,24.560091377310755,16
1,1019,Legal & compliance checklist,"Collect requirements for privacy, licensing, third-party terms and confirm any regulatory needs.",task,todo,low,,2,,legal compliance,,"Legal & compliance checklist. Collect requirements for privacy, licensing, third-party terms and confirm any regulatory needs.. legal compliance",5.240666,4.01072,5.9089036,1.5,2.0,1.0,1.2,1.0,1.3130456079943786,1.2532381120129166,2.5272253174178823,5.093509037425177,2.0,2.5467545187125884,0,Could Have,False,99,0,2.5467545187125884,17
1,1001,Project initialization & repo setup,"Create repository structure, branch strategy, README, CODEOWNERS, and initial license.",task,todo,high,,3,,devops setup documentation,,"Project initialization & repo setup. Create repository structure, branch strategy, README, CODEOWNERS, and initial license.. devops setup documentation",10.000001,6.7648335,8.425906,1.0,1.0,1.0,2.0,1.0,1.7833709209226907,1.484892533204266,1.8266951043615247,5.094958558488481,3.0,1.6983195194961604,2,Won't Have (This Sprint),False,99,0,1.6983195194961604,18
